ticker,category,direction,earnings_date,entry_date,exit_date,entry_price,exit_price,raw_return_pct,trade_return_pct,spy_return_pct,excess_return_pct,surprise_pct,trade_return,date,cumulative_return,benchmark_cumulative
DIS,Beat,Long,2025-09-30,2025-10-01,2025-10-08,112.19092559814452,111.13805389404295,-0.9384642282681877,-0.9384642282681877,0.6971243665792715,-1.635588594847459,8.42,-0.9384642282681877,2025-10-01,-2.385440814188089,5.502566253797103
BAC,Beat,Long,2025-09-30,2025-10-01,2025-10-08,50.13457489013672,49.303611755371094,-1.6574652055723393,-1.6574652055723393,0.6971243665792715,-2.354589572151611,12.04,-1.6574652055723393,2025-10-01,-2.385440814188089,5.502566253797103
GOOGL,Beat,Long,2025-09-30,2025-10-01,2025-10-08,244.5677490234375,244.2881317138672,-0.11433122751746128,-0.11433122751746128,0.6971243665792715,-0.8114555940967327,26.88,-0.11433122751746128,2025-10-01,-2.385440814188089,5.502566253797103
AMZN,Beat,Long,2025-09-30,2025-10-01,2025-10-08,220.6300048828125,225.22000122070312,2.080404403892655,2.080404403892655,0.6971243665792715,1.3832800373133836,25.2,2.080404403892655,2025-10-01,-2.385440814188089,5.502566253797103
CRM,Beat,Long,2025-10-31,2025-11-03,2025-11-10,260.2679138183594,240.71844482421875,-7.511286622823654,-7.511286622823654,-0.27804289350372713,-7.233243729319927,13.55,-7.511286622823654,2025-11-03,-9.717550140240261,5.209223865864354
COST,Beat,Long,2025-12-01,2025-12-02,2025-12-09,919.43798828125,885.9423828125,-3.643052157477744,-3.643052157477744,0.22154436543453393,-3.864596522912278,5.21,-3.643052157477744,2025-12-02,-13.006586877680004,5.442308973256571
TSLA,Beat,Long,2025-12-31,2026-01-02,2026-01-09,438.0700073242187,445.010009765625,1.5842222305509246,1.5842222305509246,1.5955014668662448,-0.01127923631532024,10.96,1.5842222305509246,2026-01-02,-11.462550758852286,7.124642559622507
AMD,Beat,Long,2025-12-31,2026-01-02,2026-01-09,223.47000122070312,203.1699981689453,-9.08399469318889,-9.08399469318889,1.5955014668662448,-10.679496160055134,15.98,-9.08399469318889,2026-01-02,-11.462550758852286,7.124642559622507
PFE,Beat,Long,2025-12-31,2026-01-02,2026-01-09,24.36300468444824,24.653270721435547,1.1914213404580432,1.1914213404580432,1.5955014668662448,-0.4040801264082017,16.18,1.1914213404580432,2026-01-02,-11.462550758852286,7.124642559622507
AAPL,Beat,Long,2025-12-31,2026-01-02,2026-01-09,270.5074462890625,258.8890075683594,-4.295053197274179,-4.295053197274179,1.5955014668662448,-5.890554664140423,6.34,-4.295053197274179,2026-01-02,-11.462550758852286,7.124642559622507
MSFT,Beat,Long,2025-12-31,2026-01-02,2026-01-09,471.8630065917969,478.1885681152344,1.3405504214297759,1.3405504214297759,1.5955014668662448,-0.25495104543646896,5.6900002,1.3405504214297759,2026-01-02,-11.462550758852286,7.124642559622507
CVX,Beat,Long,2025-12-31,2026-01-02,2026-01-09,154.3896942138672,160.53955078125,3.9833336018295196,3.9833336018295196,1.5955014668662448,2.3878321349632747,5.1999997,3.9833336018295196,2026-01-02,-11.462550758852286,7.124642559622507
GOOGL,Beat,Long,2025-12-31,2026-01-02,2026-01-09,314.9283142089844,328.3388671875,4.258287481136569,4.258287481136569,1.5955014668662448,2.662786014270324,7.01,4.258287481136569,2026-01-02,-11.462550758852286,7.124642559622507
GS,Beat,Long,2025-12-31,2026-01-02,2026-01-09,909.5532836914062,934.064208984375,2.6948311585981655,2.6948311585981655,1.5955014668662448,1.0993296917319206,20.22,2.6948311585981655,2026-01-02,-11.462550758852286,7.124642559622507
META,Beat,Long,2025-12-31,2026-01-02,2026-01-09,649.8535766601562,652.5013427734375,0.40744041556086685,0.40744041556086685,1.5955014668662448,-1.188061051305378,8.0,0.40744041556086685,2026-01-02,-11.462550758852286,7.124642559622507
INTC,Beat,Long,2025-12-31,2026-01-02,2026-01-09,39.380001068115234,45.54999923706055,15.667846626700488,15.667846626700488,1.5955014668662448,14.072345159834242,81.51,15.667846626700488,2026-01-02,-11.462550758852286,7.124642559622507
NVDA,Beat,Long,2026-02-02,2026-02-03,2026-02-10,180.33023071289065,188.52978515625,4.5469660915668175,4.5469660915668175,0.3756094066910354,4.171356684875782,5.3200003,4.5469660915668175,2026-02-03,-9.89652044160837,7.527012793960597
CRM,Beat,Long,2026-02-02,2026-02-03,2026-02-10,195.8900909423828,192.96739196777344,-1.4920096062791766,-1.4920096062791766,0.3756094066910354,-1.867619012970212,24.85,-1.4920096062791766,2026-02-03,-9.89652044160837,7.527012793960597
HD,Beat,Long,2026-02-02,2026-02-03,2026-02-10,378.5690307617187,387.092041015625,2.251375458990168,2.251375458990168,0.3756094066910354,1.8757660522991326,7.8,2.251375458990168,2026-02-03,-9.89652044160837,7.527012793960597
CVX,Beat,Long,2026-03-31,2026-04-01,2026-04-09,197.41000366210935,190.36000061035156,-3.5712491368090404,-3.5712491368090404,3.765030107721601,-7.336279244530641,45.560002,-3.5712491368090404,2026-04-01,-4.454927874256997,11.575437199586869
MSFT,Beat,Long,2026-03-31,2026-04-01,2026-04-09,369.3699951171875,373.0700073242187,1.001708924910738,1.001708924910738,3.765030107721601,-2.763321182810863,5.2199997,1.001708924910738,2026-04-01,-4.454927874256997,11.575437199586869
INTC,Beat,Long,2026-03-31,2026-04-01,2026-04-09,48.029998779296875,61.720001220703125,28.50302475399451,28.50302475399451,3.765030107721601,24.73799464627291,200.0,28.50302475399451,2026-04-01,-4.454927874256997,11.575437199586869
UNH,Beat,Long,2026-03-31,2026-04-01,2026-04-09,273.9800109863281,306.9100036621094,12.019122328389308,12.019122328389308,3.765030107721601,8.254092220667708,9.52,12.019122328389308,2026-04-01,-4.454927874256997,11.575437199586869
GOOGL,Beat,Long,2026-03-31,2026-04-01,2026-04-09,297.3900146484375,318.489990234375,7.095051799530339,7.095051799530339,3.765030107721601,3.3300216918087377,91.59,7.095051799530339,2026-04-01,-4.454927874256997,11.575437199586869
AMD,Beat,Long,2026-03-31,2026-04-01,2026-04-09,210.2100067138672,236.63999938964844,12.573137258759104,12.573137258759104,3.765030107721601,8.808107151037504,5.82,12.573137258759104,2026-04-01,-4.454927874256997,11.575437199586869
TSLA,Beat,Long,2026-03-31,2026-04-01,2026-04-09,381.260009765625,345.6199951171875,-9.347955131813269,-9.347955131813269,3.765030107721601,-13.112985239534868,17.150000000000002,-9.347955131813269,2026-04-01,-4.454927874256997,11.575437199586869
META,Beat,Long,2026-03-31,2026-04-01,2026-04-09,579.22998046875,628.3900146484375,8.487135652043442,8.487135652043442,3.765030107721601,4.722105544321841,56.79,8.487135652043442,2026-04-01,-4.454927874256997,11.575437199586869
AMZN,Beat,Long,2026-03-31,2026-04-01,2026-04-09,210.57000732421875,233.6499938964844,10.960718891332387,10.960718891332387,3.765030107721601,7.195688783610787,68.17999999999999,10.960718891332387,2026-04-01,-4.454927874256997,11.575437199586869
JPM,Beat,Long,2026-03-31,2026-04-01,2026-04-09,293.87603759765625,310.3299865722656,5.598942026411957,5.598942026411957,3.765030107721601,1.8339119186903563,7.7800006,5.598942026411957,2026-04-01,-4.454927874256997,11.575437199586869
BAC,Beat,Long,2026-03-31,2026-04-01,2026-04-09,49.27000045776367,52.709999084472656,6.981933417390351,6.981933417390351,3.765030107721601,3.2169033096687505,8.7799996,6.981933417390351,2026-04-01,-4.454927874256997,11.575437199586869
KO,Beat,Long,2026-03-31,2026-04-01,2026-04-09,76.08000183105469,78.18000030517578,2.760250293874078,2.760250293874078,3.765030107721601,-1.0047798138475228,5.88,2.760250293874078,2026-04-01,-4.454927874256997,11.575437199586869
GS,Beat,Long,2026-03-31,2026-04-01,2026-04-09,860.2100219726562,903.719970703125,5.058061126826985,5.058061126826985,3.765030107721601,1.293031019105384,7.06,5.058061126826985,2026-04-01,-4.454927874256997,11.575437199586869
XOM,Beat,Long,2026-03-31,2026-04-01,2026-04-09,159.69607543945312,153.99476623535156,-3.5700997588153927,-3.5700997588153927,3.765030107721601,-7.3351298665369935,15.14,-3.5700997588153927,2026-04-01,-4.454927874256997,11.575437199586869
