Date,AAPL,AMD,AMZN,BAC,COST,CRM,CVX,DIS,GOOGL,GS,HD,INTC,JNJ,JPM,KO,META,MSFT,NFLX,NVDA,PFE,PG,SPY,TSLA,UNH,WMT,XOM
2023-01-03,122.98271942138672,64.0199966430664,85.81999969482422,30.800151824951172,433.82330322265625,132.82984924316406,151.9012908935547,86.92301940917969,88.38945770263672,319.4131774902344,290.7672424316406,25.775144577026367,161.79576110839844,124.29259490966797,57.12635803222656,123.76872253417969,233.4528045654297,29.4950008392334,14.299909591674805,41.69425964355469,138.48106384277344,365.072021484375,108.0999984741211,487.1922912597656,45.965152740478516,94.79082489013672
2023-01-04,124.25118255615234,64.66000366210938,85.13999938964844,31.37920570373535,436.9625244140625,137.57025146484375,150.28616333007812,89.86376953125,87.35798645019531,320.7786560058594,294.2832946777344,26.691207885742188,163.5572509765625,125.45165252685547,57.09912872314453,126.37825775146484,223.24081420898438,30.94099998474121,14.733451843261719,40.7751350402832,139.0840301513672,367.89044189453125,113.63999938964844,473.90972900390625,46.01636505126953,95.06671142578125
2023-01-05,122.93356323242188,62.33000183105469,83.12000274658203,31.31485939025879,430.86590576171875,134.36724853515625,152.9925994873047,89.80513763427734,85.49340057373047,317.1436767578125,290.3623046875,26.57549476623535,162.3496551513672,125.4238510131836,56.44573974609375,125.95159912109375,216.6244659423828,30.969999313354492,14.24996280670166,40.392845153808594,137.35726928710938,363.69158935546875,110.33999633789062,460.2513122558594,45.859519958496094,97.19373321533203
2023-01-06,127.4567642211914,63.959999084472656,86.08000183105469,31.62737274169922,462.1431884765625,138.47691345214844,154.14501953125,91.75912475585938,86.6240463256836,321.1291198730469,292.2583312988281,27.70370101928711,163.6662139892578,127.82392120361328,57.534725189208984,129.00762939453125,219.17745971679688,31.55500030517578,14.843335151672363,41.4177131652832,140.6281280517578,372.03179931640625,113.05999755859375,460.2888488769531,46.983036041259766,98.36849975585938
2023-01-09,127.9779281616211,67.23999786376953,87.36000061035156,31.14942741394043,458.2000427246094,144.97158813476562,152.9402313232422,92.58956909179688,87.29847717285156,325.66827392578125,292.5160827636719,28.262977600097656,159.42587280273438,127.2956771850586,56.817806243896484,128.46189880371094,221.3114776611328,31.517000198364258,15.611525535583496,39.35983657836914,138.91046142578125,371.8209533691406,119.7699966430664,460.34521484375,46.39727783203125,96.53515625
2023-01-10,128.54824829101562,68.05000305175781,89.87000274658203,31.360822677612305,460.7362060546875,145.306640625,153.6909942626953,93.36138916015625,87.6951904296875,329.69061279296875,295.11163330078125,28.38833999633789,159.04454040527344,128.4355010986328,56.38221740722656,131.95448303222656,222.99717712402344,32.75400161743164,15.892230987548828,38.733524322509766,138.7734375,374.42852783203125,118.8499984741211,456.53143310546875,46.36846923828125,97.97691345214844
2023-01-11,131.26220703125,69.05999755859375,95.08999633789062,31.599794387817383,463.5213623046875,142.8033905029297,152.95767211914062,94.11368560791016,90.76978302001953,336.2593688964844,302.8154602050781,28.783693313598633,158.790283203125,129.38995361328125,56.2733154296875,131.85528564453125,229.74021911621094,32.72600173950195,15.984130859375,38.59525680541992,137.649658203125,379.1641540527344,123.22000122070312,463.48272705078125,46.774986267089844,99.11607360839844
2023-01-12,131.18350219726562,70.80000305175781,95.2699966430664,31.682523727416992,461.7220764160156,147.4353790283203,154.59898376464844,97.51360321044922,90.38298797607422,341.2966613769531,303.61627197265625,29.207971572875977,157.99124145507812,129.2602081298828,55.547325134277344,135.6455078125,232.41014099121094,33.01300048828125,16.49359703063965,38.806739807128906,136.873046875,380.54461669921875,123.55999755859375,465.6150817871094,46.35245895385742,100.76251983642578
2023-01-13,132.510986328125,71.0,98.12000274658203,32.38105773925781,464.4210205078125,147.34669494628906,155.01805114746094,97.11305236816406,91.36487579345703,345.04229736328125,304.84954833984375,29.034406661987305,157.47369384765625,132.5220947265625,55.74696731567383,135.91342163085938,233.1117401123047,33.28200149536133,16.881187438964844,38.92060470581055,137.8506317138672,382.02093505859375,122.4000015258789,459.88494873046875,46.506099700927734,100.70022583007812
2023-01-17,133.67132568359375,71.58999633789062,96.05000305175781,31.728477478027344,465.875732421875,146.32177734375,157.57608032226562,97.61131286621094,90.54167938232422,322.82672119140625,301.4624938964844,28.542621612548828,156.50216674804688,130.47415161132812,55.97384262084961,134.3060302734375,234.20310974121094,32.62200164794922,17.683340072631836,37.48091125488281,137.4486541748047,381.3211364746094,131.49000549316406,455.66717529296875,46.22442626953125,100.50442504882812
2023-01-18,132.95350646972656,70.52999877929688,95.45999908447266,30.99317169189453,458.88916015625,143.34544372558594,154.72994995117188,96.76133728027344,90.37307739257812,322.0610046386719,297.9280700683594,27.780841827392578,154.14137268066406,126.55436706542969,54.2768440246582,131.9842529296875,229.7792205810547,32.632999420166016,17.358684539794922,36.60245132446289,133.7666473388672,375.3008117675781,128.77999877929688,447.36322021484375,45.081695556640625,98.439697265625
2023-01-19,133.01248168945312,67.70999908447266,93.68000030517578,30.542795181274414,449.33746337890625,144.2915496826172,156.27523803710938,96.80040740966797,92.28723907470703,323.59246826171875,286.1376037597656,27.404775619506836,153.93252563476562,124.86784362792969,54.19517135620117,135.0898895263672,225.99844360351562,31.577999114990234,16.747325897216797,36.56991958618164,130.937744140625,372.56866455078125,127.16999816894531,454.9908142089844,44.438316345214844,99.07157135009766
2023-01-20,135.56910705566406,70.06999969482422,97.25,31.11265754699707,459.5015869140625,149.0615234375,157.93399047851562,101.09918212890625,97.21650695800781,315.372314453125,289.9296569824219,28.176197052001953,153.21517944335938,125.17364501953125,54.52186584472656,138.28482055664062,234.07644653320312,34.25,17.8201961517334,36.69192123413086,131.4434051513672,379.5092468261719,133.4199981689453,457.20770263671875,44.98567199707031,100.8781967163086
2023-01-23,138.75503540039062,76.52999877929688,97.5199966430664,31.544647216796875,471.465087890625,153.6146697998047,157.72450256347656,103.2583236694336,98.97200775146484,322.1070556640625,290.3714904785156,29.188690185546875,152.82476806640625,127.20301055908203,54.657981872558594,142.15443420410156,236.3760528564453,35.742000579833984,19.172767639160156,36.586185455322266,129.6781768798828,384.0628662109375,143.75,456.3528747558594,45.657859802246094,100.35311889648438
2023-01-24,140.15133666992188,74.69999694824219,96.31999969482422,31.774438858032227,470.9865417480469,152.61929321289062,157.87294006347656,103.56118774414062,96.89913177490234,321.3597717285156,292.4056091308594,28.8511905670166,152.82476806640625,128.29647827148438,54.948387145996094,142.0254669189453,235.84986877441406,36.382999420166016,19.24469566345215,36.36656951904297,130.38607788085938,383.6506652832031,143.88999938964844,461.7918701171875,45.779502868652344,101.28760528564453
2023-01-25,139.4925079345703,74.91000366210938,97.18000030517578,32.0501708984375,469.8093566894531,153.9103240966797,156.34512329101562,105.63241577148438,94.43946075439453,322.55914306640625,292.00982666015625,28.63905143737793,153.9143524169922,128.9173583984375,55.2932243347168,140.39820861816406,234.4564666748047,36.79600143432617,19.302631378173828,36.65939712524414,130.29417419433594,383.7944030761719,144.42999267578125,462.63726806640625,45.56184387207031,100.75361633300781
2023-01-26,141.55746459960938,75.16000366210938,99.22000122070312,32.4821662902832,476.91082763671875,162.7012939453125,163.94931030273438,107.17607116699219,96.72061920166016,327.4856872558594,288.8343811035156,29.015117645263672,153.35142517089844,129.7142791748047,55.184326171875,146.15306091308594,241.65745544433594,36.48699951171875,19.781124114990234,36.322837829589844,129.7700958251953,388.0124816894531,160.27000427246094,462.6184997558594,45.520225524902344,104.802978515625
2023-01-27,143.49456787109375,75.4000015258789,102.23999786376953,32.583274841308594,481.6866149902344,162.13955688476562,156.66812133789062,107.01976013183594,98.5554428100586,326.31402587890625,291.4852294921875,27.1540584564209,152.7521209716797,130.02935791015625,54.89392852783203,150.55848693847656,241.81338500976562,36.07699966430664,20.343530654907227,35.945247650146484,129.2368927001953,388.904052734375,177.89999389648438,456.578369140625,45.86912536621094,102.8895492553711
2023-01-30,140.6134796142578,72.44999694824219,100.55000305175781,32.44539260864258,481.6771240234375,162.3662109375,152.08460998535156,105.1146011352539,96.14537811279297,329.7828674316406,289.23016357421875,26.951566696166992,147.09530639648438,128.9266357421875,55.030059814453125,145.91493225097656,236.50277709960938,35.31100082397461,19.141799926757812,35.74824142456055,129.6414031982422,384.0245666503906,166.66000366210938,456.3341369628906,45.50102996826172,101.06510925292969
2023-01-31,141.88194274902344,75.1500015258789,103.12999725341797,32.61083984375,489.1997375488281,165.53961181640625,151.927490234375,105.99390411376953,98.02978515625,337.48638916015625,298.36993408203125,27.25048828125,148.38465881347656,129.69578552246094,55.64714813232422,147.81005859375,241.47230529785156,35.38600158691406,19.516407012939453,36.24895477294922,130.90093994140625,389.6708984375,173.22000122070312,468.9216613769531,46.051578521728516,103.24555206298828
2023-02-01,143.0029296875,84.63999938964844,105.1500015258789,33.015262603759766,495.6790771484375,169.3339080810547,149.60516357421875,106.87319946289062,99.60675811767578,337.39410400390625,301.9779357910156,28.031557083129883,149.7466583251953,129.3529052734375,55.65623092651367,151.92774963378906,246.28594970703125,36.19900131225586,20.920923233032227,36.09299850463867,131.64566040039062,393.81231689453125,181.41000366210938,466.86444091796875,46.30765151977539,102.11527252197266
