ticker,earnings_date,eps_estimate,eps_actual,surprise_pct,event_trading_date,ret_day0,ret_day0_adj,ret_day1,ret_day1_adj,ret_day5,ret_day5_adj,ret_day10,ret_day10_adj,ret_day20,ret_day20_adj,category
CRM,2025-04-30,2.54652,2.58,1.3099999,2025-04-30,0.3547722301884715,0.3150909588909734,0.23073582944359572,-0.4779557423824077,3.5428693692637125,2.3508772867843364,8.198444712818787,2.2385399635310064,-0.6661201288578278,-7.069637592045042,In-Line
NVDA,2025-04-30,0.74988,0.81,8.02,2025-04-30,-0.09173250395855259,-0.1314137752560507,2.4697053835500915,1.761013811724088,7.473384358352719,6.281392275873343,24.2563335327308,18.29642878344302,27.791049925180378,21.387532461993164,Beat
WMT,2025-04-30,0.57746,0.61,5.6399997,2025-04-30,1.2598936698980934,1.2202123986005953,0.164528606273473,-0.5441629655525304,1.6246763727548297,0.4326842902754535,-0.19114912542038676,-6.151053874708168,0.0871649527741436,-6.31635251041307,Beat
HD,2025-04-30,3.58912,3.56,-0.8099999999999999,2025-04-30,0.4150277360615684,0.3753464647640703,-0.6075003623719821,-1.3161919341979855,0.6269425959374519,-0.5650494865419242,3.417571439358902,-2.542333309928879,2.163729645326784,-4.23978781786043,In-Line
COST,2025-05-31,4.2278,4.28,1.23000005,2025-06-02,1.6026046515140946,1.039293471106939,-0.11923219345885139,-0.6894807565884897,-4.794435103072825,-5.970376819376333,-6.859056977307665,-8.541149105952673,-6.707667518618344,-11.223524936583596,In-Line
AMD,2025-06-30,0.48264,0.48,-0.5499999999999999,2025-06-30,-1.3281438665842193,-1.8062544154969329,-4.080333710483874,-4.0479757388664375,-2.8752549314709386,-3.2782750619548606,9.66173876220784,8.967387300440468,25.045814005353794,22.227970656192152,In-Line
INTC,2025-06-30,0.00847,-0.1,-200.0,2025-06-30,-1.2781000824220068,-1.7562106313347203,2.008932011620179,2.0412899832376152,5.312502474657177,4.909482344173255,2.3214306545501273,1.6270791927827544,-8.883927700927053,-11.701771050088695,Miss
GS,2025-06-30,9.66225,10.91,12.91,2025-06-30,2.45219262185854,1.9740820729458264,-0.18226250934020305,-0.14990453772276702,-1.479322721659515,-1.882342852143437,-0.7403664467061533,-1.4347179084735262,3.423529144877979,0.6056857957163375,Beat
JNJ,2025-06-30,2.68396,2.77,3.2099999999999995,2025-06-30,0.22309177964183746,-0.2550187692708761,2.075271278023161,2.107629249640597,1.9901730307273935,1.5871529002434714,1.5842791295810343,0.8899276678136614,10.055642179736779,7.237798830575137,In-Line
JPM,2025-06-30,4.48379,4.96,10.62,2025-06-30,0.9752352023499222,0.4971246534372087,0.17246258347469734,0.20482055509213337,-1.989463374263556,-2.392483504747478,-0.6827891441827383,-1.3771406059501112,2.9530152943437527,0.13517194518211095,Beat
