label,metric,estimate,std_error,statistic,p_value,n_obs,n_clusters,method,ci_low,ci_high,alpha_annualised_pct,beta_mkt_rf,beta_smb,beta_hml,beta_mom
alpha (daily),spread_ret,0.0003458490827537453,0.00015651151641003837,2.209735683907559,0.027123511684574924,3652,3652,"calendar-time OLS on mkt_rf+smb+hml+mom, Newey-West 20 lags",3.909214742432043e-05,0.0006526060180831702,8.715396885394382,-0.09237724389727081,-0.03696996049182902,-0.027995734505252688,0.2523527830844928
alpha (daily),long_ret,0.00020980596525048433,0.00012015766660056149,1.7460888779401773,0.08079550912989206,3528,3528,"calendar-time OLS on mkt_rf+smb+hml+mom, Newey-West 20 lags",-2.569873375298754e-05,0.0004453106642539562,5.287110324312206,0.9100306542114477,0.027878976135519755,0.16725123716934953,0.07272813318970242
alpha (daily),short_ret,-0.00013069029904917928,0.00013126325345185473,-0.9956350738869535,0.31942748668293475,3587,3587,"calendar-time OLS on mkt_rf+smb+hml+mom, Newey-West 20 lags",-0.0003879615483083675,0.00012658095021000893,-3.293395536039318,0.9934552922237809,0.0710433440833251,0.19727368316936583,-0.1735643651428162
