round_trip_bps,net_total_return_pct_next_close,net_total_return_pct_next_open
0.0,55.167748172820865,121.40305042700655
5.0,27.074593632837175,81.34053156724228
10.0,4.065729089424597,48.524438638724135
20.0,-30.21197381862013,-0.37249965961850817
30.0,-53.202678903179624,-33.176760420670384
50.0,-78.96213040496146,-69.94442943197241
75.0,-92.25910483696802,-88.9341255620688
100.0,-97.15309414443439,-95.927702236899
150.0,-99.61548494650158,-99.44928727569307
200.0,-99.9481653321576,-99.92566735499521
