season,end_date,spread,ci_low,ci_high,n_events,n_beat,n_miss
2014Q4,2014-12-31,0.47659418399259473,-0.05957527466344449,1.0747017555176952,837,361,476
2015Q1,2015-03-31,0.280505472747364,-0.19145440365674482,0.8142985991307619,910,399,511
2015Q2,2015-06-30,0.16776830051870778,-0.23437239665401866,0.553902082726846,933,408,525
2015Q3,2015-09-30,0.2073323323072852,-0.1342432379960859,0.5846722916760688,951,415,536
2015Q4,2015-12-31,0.47530450823058956,-0.04956248962403304,1.0323627752168294,962,435,527
2016Q1,2016-03-31,0.26772258505140767,-0.2949536587316889,0.9066551478045601,989,441,548
2016Q2,2016-06-30,0.3981908590789908,-0.1470351000914333,0.9864255490222976,1018,458,560
2016Q3,2016-09-30,0.32320735392340677,-0.21434096763664864,0.9214399728608623,1029,467,562
2016Q4,2016-12-31,0.36944846656225283,-0.14655689596327873,0.9731025107221692,1046,473,573
2017Q1,2017-03-31,0.40531075000053085,-0.11976749779777272,0.971500339643461,1070,494,576
2017Q2,2017-06-30,0.36099243785518426,-0.12262581572325323,0.8999973505434503,1110,528,582
2017Q3,2017-09-30,0.35730348252006466,-0.12453890505931703,0.9166481004107825,1135,551,584
2017Q4,2017-12-31,0.43373645439511604,-0.029163546291426798,0.9291612510291821,1169,578,591
2018Q1,2018-03-31,0.5805740571475749,0.14071628810499207,1.0376592043273924,1297,644,653
2018Q2,2018-06-30,0.6030069984457849,0.13579563126638072,1.0660219695531514,1290,672,618
2018Q3,2018-09-30,0.6276365330042935,0.14363757721555762,1.1153939833563373,1263,694,569
2018Q4,2018-12-31,0.4978686725517346,0.027760666068794636,0.886420456067642,1242,702,540
2019Q1,2019-03-31,0.5988040197690363,0.2774983091633283,0.8969688036932573,1335,774,561
2019Q2,2019-06-30,0.6073539686403808,0.2828264704130054,0.9342465572186485,1304,756,548
2019Q3,2019-09-30,0.8512863783106756,0.43508418281659395,1.34003702788052,1278,729,549
2019Q4,2019-12-31,0.9038411256789955,0.5015010655589366,1.3697963375842364,1249,699,550
2020Q1,2020-03-31,1.395078968575036,0.6610957513049834,2.275154178140749,1247,684,563
2020Q2,2020-06-30,1.4058389566008842,0.7207620946696,2.299266216197748,1275,647,628
2020Q3,2020-09-30,1.1321189791822792,0.41398729394897993,2.071334432212976,1313,620,693
2020Q4,2020-12-31,0.9156900437979347,-0.0012139689947738123,1.8789693984416305,1271,589,682
2021Q1,2021-03-31,1.2022299023606144,0.09374233358573938,2.3624224978925517,1157,548,609
2021Q2,2021-06-30,1.574274245831054,0.3042943873560015,2.692241817177638,1261,643,618
2021Q3,2021-09-30,1.510320560559008,0.4091897836084585,2.637276617318351,1374,739,635
2021Q4,2021-12-31,1.288321383514172,0.12074796078810131,2.4591555383137784,1418,770,648
2022Q1,2022-03-31,1.6263678882829078,0.4015684945777724,2.798957252714443,1313,718,595
2022Q2,2022-06-30,1.5377874237848774,0.28298574469248783,2.720935335614876,1349,738,611
2022Q3,2022-09-30,1.4415161328594146,0.2534380467643031,2.5063476130610214,1409,764,645
2022Q4,2022-12-31,1.063363562850203,-0.20476293398359693,2.322206141921824,1484,791,693
2023Q1,2023-03-31,0.9562571451862087,-0.18651913929236288,1.9339516522808866,1517,774,743
2023Q2,2023-06-30,1.1635941683548603,-0.12171278972162876,2.2697658468418904,1503,776,727
2023Q3,2023-09-30,1.2961518135340113,0.07985100202530122,2.3802766720429824,1492,784,708
2023Q4,2023-12-31,1.4311210843056303,0.30999388652902543,2.4433059880536576,1555,812,743
2024Q1,2024-03-31,1.245053956543471,0.19580916373502416,2.234264115196322,1606,830,776
2024Q2,2024-06-30,0.9435900234699492,0.11890747028758282,1.7207791237336298,1553,745,808
2024Q3,2024-09-30,0.901000501515653,0.05255279448372034,1.6830945122016803,1476,652,824
2024Q4,2024-12-31,0.7794829066335482,-0.11959361196017407,1.646606549197691,1493,638,855
2025Q1,2025-03-31,0.688239004651278,-0.14928639621092388,1.484048716931929,1550,660,890
2025Q2,2025-06-30,0.5035568462624805,-0.3623172293744813,1.304031248452751,1572,661,911
2025Q3,2025-09-30,0.27946002129597686,-0.601056729632465,1.0714338666363912,1573,683,890
2025Q4,2025-12-31,0.8816506956797086,-9.21580049740328e-06,1.6838455051321117,1578,716,862
2026Q1,2026-03-31,0.8041463664867222,-0.06320541789335049,1.5824714042740262,1594,768,826
2026Q2,2026-06-30,0.6170647764097629,-0.1380714401843251,1.3333610459855654,1623,845,778
2026Q3,2026-09-30,0.4094987333627513,-0.39785950524742,1.21747803068147,1634,896,738
